cal_per_gesture,cal_total_ms,participant,session,arm,n_cal,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
12,7200,patient4,healthy_01,healthy,144,117,0.9914529914529915,0.9914515863882952,0.9873417721518987,0.9870129870129869,1.0
12,7200,patient4,healthy_02,healthy,144,117,0.8034188034188035,0.7907831242655788,0.951219512195122,0.7659574468085106,0.6551724137931034
12,7200,patient4,impaired_01,impaired,144,117,0.8034188034188035,0.787387132323841,0.9873417721518987,0.7676767676767675,0.6071428571428571
12,7200,patient4,impaired_02,impaired,144,117,0.9829059829059829,0.9828947368421052,0.975,0.9736842105263158,1.0
12,7200,patient4,impaired_03,impaired,144,117,0.9743589743589743,0.9743209876543211,1.0,0.962962962962963,0.9600000000000001
12,7200,patient4,impaired_04,impaired,144,117,0.6752136752136753,0.5673639066487751,0.8666666666666666,0.7378640776699028,0.09756097560975609
12,7200,patient4,impaired_05,impaired,144,117,0.8717948717948718,0.8638447971781305,0.962962962962963,0.8666666666666666,0.761904761904762
12,7200,patient4,impaired_06,impaired,144,117,0.7777777777777778,0.75,1.0,0.7499999999999999,0.5
12,7200,patient4,impaired_07,impaired,144,117,0.9401709401709402,0.9396851698425849,1.0,0.9176470588235294,0.9014084507042254
12,7200,patient5,healthy_01,healthy,144,117,0.8803418803418803,0.8763586956521738,1.0,0.8478260869565216,0.7812500000000001
12,7200,patient5,healthy_02,healthy,144,117,0.7350427350427351,0.7051987767584098,0.9600000000000001,0.7155963302752294,0.44000000000000006
12,7200,patient5,impaired_01,impaired,144,117,0.6666666666666666,0.6084820810848208,0.9315068493150686,0.6666666666666666,0.22727272727272727
12,7200,patient5,impaired_02,impaired,144,117,0.8034188034188035,0.7944109727614882,0.9870129870129869,0.7628865979381444,0.6333333333333333
12,7200,patient5,impaired_03,impaired,144,117,0.9487179487179487,0.9484945434312523,0.9873417721518987,0.9230769230769231,0.935064935064935
12,7200,patient6,healthy_01,healthy,144,117,0.9316239316239316,0.9324425404596762,0.9166666666666666,0.9069767441860465,0.9736842105263158
12,7200,patient6,impaired_01,impaired,144,117,0.6581196581196581,0.5615670532262861,0.9736842105263158,0.6610169491525424,0.05
12,7200,patient6,impaired_02,impaired,144,117,0.7606837606837606,0.7400366928668816,0.9610389610389611,0.7307692307692307,0.5283018867924528
