participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant19,1112202,1200,25281,0.967208575610142,0.9719193324517893,0.9814089632530358,0.9839177982809265,0.014200387642893886,200.87127995491028,197.34287691116333,100.0,1200,random_stratified,0,0,42,True
participant2,1112202,1200,25281,0.7742177920177208,0.7369984827422008,0.9115541315612515,0.9153236161929214,0.13733633954353075,201.0376579761505,199.25160479545593,100.0,1200,random_stratified,0,0,42,True
participant20,1112202,1200,25281,0.9874609390451327,0.9899286401276012,0.9959653494719355,0.9966853984139071,0.008504410426802833,198.19640016555786,202.38634085655212,100.0,1200,random_stratified,0,0,42,True
participant21,1112202,1200,25281,0.9178829951346861,0.9314537764405687,0.9651121395514418,0.9693703563438995,0.04722914441675574,188.30884099006653,195.0291130542755,100.0,1200,random_stratified,0,0,42,True
participant22,1112202,1200,25281,0.9203354297693921,0.9373437744991207,0.9602468256793639,0.9661574322295845,0.039911395909971836,215.73820114135742,205.06577396392822,100.0,1200,random_stratified,0,0,42,True
participant23,1112202,1200,25281,0.9911000355998576,0.991238033692042,0.9933942486452276,0.9932792526174161,0.0022942130453700305,209.59426379203796,207.30963683128357,100.0,1200,random_stratified,0,0,42,True
participant24,1112202,1200,25281,0.8639294331711562,0.8906741578178087,0.9785214192476563,0.9822706080553792,0.11459198607650012,208.99349784851074,211.09788393974304,100.0,1200,random_stratified,0,0,42,True
participant25,1112202,1200,25281,0.9640045884260907,0.9712630140219667,0.978996084015664,0.9835070954890882,0.014991495589573245,211.14962100982666,205.8977882862091,100.0,1200,random_stratified,0,0,42,True
participant26,1112202,1200,25281,0.9765436493809581,0.9810364381468116,0.9865907203037855,0.989887712586294,0.010047070922827417,206.8125011920929,210.96950721740723,100.0,1200,random_stratified,0,0,42,True
participant27,1112202,1200,25281,0.9579526126339939,0.9411804519850121,0.981290297061034,0.9778782565329308,0.023337684427040095,208.74606704711914,204.2457458972931,100.0,1200,random_stratified,0,0,42,True
participant28,1112202,1200,25281,0.9856413907677702,0.9867831833691459,0.9960049048692694,0.9956868364095933,0.01036351410149916,207.40953493118286,201.80935311317444,100.0,1200,random_stratified,0,0,42,True
participant29,1112202,1200,25281,0.9301451683082157,0.921384309797798,0.9685930145168308,0.9558865211897688,0.03844784620861508,190.03167009353638,200.53050017356873,100.0,1200,random_stratified,0,0,42,True
participant3,1112202,1200,25281,0.9436335587990982,0.9507497340248056,0.9642419208100945,0.9641659911609016,0.02060836201099636,199.69342064857483,206.5894639492035,100.0,1200,random_stratified,0,0,42,True
participant30,1112202,1200,25281,0.984731616629089,0.9858994988316065,0.9909022586131878,0.9908979646783761,0.006170641984098779,204.83132791519165,211.49883699417114,100.0,1200,random_stratified,0,0,42,True
participant31,1112202,1200,25281,0.9338633756576085,0.9445685819899045,0.9640441438234247,0.9678367372982967,0.030180768165816274,211.54450702667236,210.33768224716187,100.0,1200,random_stratified,0,0,42,True
participant32,1112202,1200,25281,0.9370278074443258,0.9404449466905506,0.9668921324314703,0.9646526793913274,0.02986432498714453,202.44952774047852,195.82641005516052,100.0,1200,random_stratified,0,0,42,True
participant33,1112202,1200,25281,0.9519006368418971,0.9558289417076965,0.9834262885170681,0.9825908520347925,0.031525651675171074,196.79520678520203,203.44489812850952,100.0,1200,random_stratified,0,0,42,True
